zpid,Address,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,is_bankOwned,isUnmappable,isPreforeclosureAuction,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedvalue,lotAreaValue,lotAreaUnit
37341588,6511 Highland Ave,20912,Takoma Park,MD,38.97065,-77.00384,550000.0,1,2,514.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,417567.0,7498.0,sqft
37356926,6914 Furman Pkwy,20737,Riverdale,MD,38.95741,-76.89944,350000.0,2,5,1674.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,297400.0,6258.0,sqft
37427202,7606 Allentown Rd,20744,Fort Washington,MD,38.78535,-76.93957,449999.0,3,4,1500.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,201400.0,0.46735537190082643,acres
37394673,4306 Ranger Ave,20748,Temple Hills,MD,38.82958,-76.93743,524999.0,4,3,2176.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,384400.0,0.2585858585858586,acres
37522932,4415 34th St,20722,Brentwood,MD,38.94539,-76.96191,334990.0,1,2,800.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,257000.0,,
37530523,7725 Willow Hill Dr,20785,Landover,MD,38.89719,-76.86978,457600.0,4,6,3115.0,SINGLE_FAMILY,FOR_SALE,True,False,False,True,False,False,USD,USA,360400.0,0.26955922865013776,acres
37431123,9310 Linhurst Dr,20735,Clinton,MD,38.76057,-76.8557,399899.0,2,4,1560.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,283100.0,0.28971533516988063,acres
88800401,124 57th Pl SE,20019,Washington,DC,38.88741,-76.91876,465000.0,4,3,2580.0,SINGLE_FAMILY,FOR_SALE,True,False,False,True,False,False,USD,USA,618710.0,6072.0,sqft
516440,1187 46th Pl SE,20019,Washington,DC,38.87786,-76.9322,418000.0,2,3,1056.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,296620.0,2813.0,sqft
37530997,518 68th Pl,20743,Capitol Heights,MD,38.89432,-76.90673,340000.0,2,4,1092.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,288900.0,5250.0,sqft
37554862,8910 Scheurer St,20774,Upper Marlboro,MD,38.93497,-76.8528,335000.0,2,4,1080.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,272500.0,8502.0,sqft
37563262,9727 53rd Ave,20740,College Park,MD,39.01258,-76.91305,448900.0,2,3,1603.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,304700.0,5500.0,sqft
37568607,5607 Seminole St,20740,College Park,MD,38.99499,-76.91702,399000.0,2,4,1212.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,277100.0,6969.6,sqft
511337,4615 Clay St NE,20019,Washington,DC,38.89356,-76.93593,499900.0,3,3,1541.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,412260.0,2531.0,sqft
37504410,9909 Ridge St,20706,Lanham,MD,38.97244,-76.81784,430000.0,2,4,834.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,352400.0,6750.0,sqft
37506330,4600 Rockbridge Ct,20772,Upper Marlboro,MD,38.82732,-76.79299,540000.0,3,4,2567.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,525100.0,9625.0,sqft
37463702,5732 Joan Ln,20748,Temple Hills,MD,38.80959,-76.9551,399900.0,3,4,2001.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,272000.0,0.3191230486685032,acres
37395360,6509 Kipling Pkwy,20747,District Heights,MD,38.85387,-76.89459,485000.0,2,5,2348.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,226400.0,7000.0,sqft
37464968,4616 Birchtree Ln,20748,Temple Hills,MD,38.82597,-76.96905,465000.0,4,4,1728.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,326900.0,0.2730257116620753,acres
37383860,5901 Center Dr,20748,Temple Hills,MD,38.80958,-76.91678,515000.0,3,3,1326.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,274500.0,2.2516,acres
495049,404 Jefferson St NE,20011,Washington,DC,38.95535,-76.99913,479500.0,2,3,1540.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,464270.0,2550.0,sqft
37390463,1807 Nova Ave,20743,Capitol Heights,MD,38.86624,-76.93705,410000.0,2,6,1395.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,215500.0,5162.0,sqft
529701,79 Darrington St SW,20032,Washington,DC,38.82717,-77.00952,269000.0,1,3,1016.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,259840.0,2461.0,sqft
51911530,5811 Atteentee Rd,22150,Springfield,VA,38.792072,-77.19926,549000.0,1,3,1220.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,514160.0,0.33321854912764004,acres
37540617,300 Carmody Hills Dr,20743,Capitol Heights,MD,38.89581,-76.88953,399900.0,3,5,2155.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,250900.0,7884.0,sqft
37510015,9707 Muirfield Dr,20772,Upper Marlboro,MD,38.75596,-76.79767,292000.0,2,3,1248.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,344600.0,0.3506887052341598,acres
37512320,7010 Dower House Rd,20772,Upper Marlboro,MD,38.79335,-76.835,453500.0,3,5,1354.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,368700.0,10000.0,sqft
37350462,4115 Fairfax St,20784,Hyattsville,MD,38.94094,-76.89027,399900.0,3,3,1647.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,299500.0,7200.0,sqft
37427481,8912 Ballard Ln,20735,Clinton,MD,38.76766,-76.88151,450000.0,3,5,1544.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,307200.0,0.4591368227731864,acres
37551339,6412 Kaslo St,20784,Hyattsville,MD,38.97149,-76.884,410000.0,2,4,960.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,306700.0,9257.0,sqft
